
商品UID      SKU                  更新庫存      
8014       GM01029CS1023        12        
8024       GM01056UW05XL        0         
8025       GM01058UW170L        0         
8026       GM01059UW010L        0         
8027       GM01059UW01XL        0         
8028       GM01075UW11XL        0         
8029       GM01105UW11XL        0         
8030       GM01077CS1119        0         
8031       GM03005CSRD28        0         
8032       GM03006CSRD36        0         
8033       GM03003CU11CL        0         
8034       GM11112UW0103        4         
8035       GM11113UW0204        6         
8037       GM11113UW0203        5         
8038       GM11112UW0104        6         
8039       GM01092OW010M        13        
8040       GM01123UW080M        169       
8041       GM01123UW080L        217       
8042       GM01123UW08XL        127       
8043       GM01123UW082X        13        
8044       GM01125UW180M        423       
8045       GM01125UW180L        193       
8046       GM01125UW18XL        57        
8047       GM01125UW182X        50        
8048       GM01124UW130M        306       
8049       GM01124UW130L        386       
8050       GM01124UW13XL        220       
8051       GM01124UW132X        16        
8052       GM01129UW170M        116       
8053       GM01129UW170L        22        
8054       GM01129UW17XL        59        
8055       GM01129UW172X        16        
8056       GM01128UW130M        0         
8057       GM01128UW130L        0         
8058       GM01128UW13XL        0         
8059       GM01128UW132X        0         
8060       GM01126UW010M        482       
8061       GM01126UW010L        492       
8062       GM01126UW01XL        173       
8063       GM01126UW012X        50        
8064       GM01127UW170M        273       
8065       GM01127UW170L        216       
8066       GM01127UW17XL        88        
8067       GM01127UW172X        87        
8068       GM01032UW020M        0         
8069       GM01132UW010M        161       
8070       GM01131UW130M        0         
8071       GM01131UW130L        0         
8072       GM01131UW13XL        0         
8073       GM01131UW132X        2         
8074       GM01132UW010L        282       
8075       GM01132UW01XL        166       
8076       GM01133UW190M        80        
8077       GM01133UW190L        252       
8078       GM01133UW19XL        105       
8079       GM01133UW192X        136       
8080       GM01134UW170M        135       
8081       GM01136UW170L        2         
8082       GM01136UW17XL        64        
8083       GM01136UW172X        2         
8084       GM01134UW170L        100       
8085       GM01134UW17XL        194       
8086       GM01134UW172X        25        
8087       GM01135UW190M        24        
8088       GM01136UW170M        18        
8089       GM01138UW010S        149       
8090       GM01138UW010M        64        
8091       GM01138UW010L        0         
8092       GM01138UW01XL        57        
8093       GM01138UW012X        33        
8094       GM01138UW013X        181       
8095       GM01089UW010S        0         
8096       GM01089UW010M        0         
8097       GM01089UW010L        0         
8098       GM03008SS0900        0         
8099       GM01055UW120M        0         
8100       GM01054UW010S        0         
8101       GM01084UWRD0F        0         
8116       GM01032UW023X        15        
8117       GM01002UW010M        0         
8118       GM01130UW19XL        97        
8119       GM01130UW190L        327       
8120       GM01130UW190M        82        
8121       GM01130UW190S        0         
8134       GM01053BP0102        0         
8136       GM01144UW110S        40        
8138       GM01144UW110M        160       
8140       GM01144UW110L        94        
8142       GM01144UW11XL        21        
8144       GM01145UW040S        73        
8146       GM01145UW040M        147       
8148       GM01145UW040L        88        
8150       GM01145UW04XL        30        
8152       GM01146UWW104        1         
8154       GM01146UWP204        0         
8155       GM01132UW012X        147       
8156       GM01135UW190L        57        
8157       GM01135UW19XL        14        
8158       GM01137UW130M        0         
8159       GM01137UW130L        0         
8160       GM01137UW13XL        7         
8161       GM01137UW132X        15        
8162       GM01135UW192X        26        
8166       GM01140UW080M        51        
8169       GM01140UW080L        76        
8170       GM01140UW08XL        27        
8171       GM01140UW082X        13        
8172       GM01025UW093X        0         
8173       GM01073BP1201        0         
8174       GM01010WL0025        18        
8175       GM01122UWRD0F        185       
8176       GM01026UW153X        0         
8177       GM01058UW170S        0         
8192       GM01092OW010L        0         
8196       GM01147BP1901        36        
8197       GM01130UW192X        8         
8198       GM01130UW193X        28        
8247       GM01031UW013X        16        
8405       GM01069BP0001        0         
8407       GM01149BP1400        0         
8426       GM01139UW230M        44        
8427       GM01139UW230L        2         
8428       GM01139UW23XL        32        
8429       GM01139UW232X        61        
8442       GM01150UW010F        147       
8444       GM01150UW190F        94        
8446       GM20010UW010S        372       
8448       GM20010UW010M        596       
8450       GM20010UW010L        468       
8452       GM20010UW01XL        121       
8454       GM20009UW010M        0         
8456       GM20009UW010L        0         
8458       GM20009UW01XL        0         
8460       GM20008UW01XL        169       
8462       GM20008UW012X        174       
8464       GM20009UW012X        0         
8466       GM20008UW010L        181       
8468       GM20008UW010M        203       
8479       GM01105UW110S        0         
8492       GM01031UW010S        18        
8493       GM01093BP0001        0         
8494       GM01093BP0002        0         
8495       GM01095BP0023        9         
8500       GM01010WL0010        398       
8507       GM01138UW01XS        49        
8537       GM01132UW010S        230       
8539       GM01132UW013X        50        
8541       GM01134UW170S        155       
8542       GM01134UW173X        21        
8544       GM01087UW01XS        149       
8547       GM01087UW010S        282       
8549       GM01087UW013X        19        
8551       GM01129UW170S        121       
8553       GM01129UW173X        21        
8555       GM01126UW010S        118       
8557       GM01126UW013X        152       
8707       GM01067UW102X        0         
8708       GM01067UW10XL        0         
8733       GM01120PS1408        0         
8764       GM01025UW092X        0         
8765       GM01067UW100L        0         
8767       GM20012WU090L        123       
8782       GM20011WU13XL        127       
8784       GM20011WU130L        130       
8786       GM20011WU130M        144       
8788       GM20012WU09XL        137       
8790       GM20012WU090M        88        
8817       GM20015BW0015        22        
8819       GMCO121UW020M        0         
8821       GMCO121UW020L        0         
8823       GMCO121UW02XL        0         
8825       GMCO121UW022X        165       
8842       GM20016BW0008        507       
8844       GM01012PS00          458       
8856       GM11114FTP2XS        1         
8858       GM11114FTP20S        0         
8859       GM11114FTP20M        2         
8862       GM11114FTP20L        2         
8864       GM11114FTP2XL        1         
8866       GM11115FT99XS        1         
8868       GM11115FT990S        1         
8870       GM11115FT990M        2         
8872       GM11115FT990L        2         
8874       GM11115FT99XL        1         
8876       GM11116FT01XS        1         
8878       GM11116FT010S        1         
8880       GM11116FT010M        2         
8882       GM11116FT010L        1         
8884       GM11116FT01XL        1         
8968       GM20017UW0104        0         
8997       GM20018UW010M        0         
8999       GM20018UW01XL        0         
9001       GM20019UW100M        0         
9003       GM20019UW100L        0         
9005       GM20019UW10XL        0         
9021       GM20020FC0030B       0         
9023       GM20020FC0010B       0         
9095       GM12001FC2010        30        
9097       GM12002FC0030        67        
✅ 更新通知email已成功發送

✅ 已成功更新 348 筆商品並發送通知郵件

商品UID      SKU                  更新庫存      
----------------------------------------
7809       GM01087UW010M        402       
7810       GM01088UW190M        294       
7811       GM01088UW190L        280       
7812       GM01087UW010L        441       
7813       GM01087UW01XL        241       
7814       GM01088UW19XL        176       
7815       GM01088UW192X        166       
7816       GM01087UW012X        63        
7818       GM01022UW020M        199       
7819       GM01032UW020S        0         
7820       GM01022UW020L        185       
7821       GM01022UW020S        0         
7822       GM01022UW023X        21        
7823       GM01022UW02XL        36        
7824       GM01020UW010S        48        
7825       GM01020UW010M        58        
7826       GM01020UW010L        146       
7827       GM01020UW01XL        66        
7828       GM01020UW012X        37        
7829       GM01021UW160S        0         
7830       GM01021UW160M        0         
7831       GM01021UW160L        0         
7832       GM01021UW16XL        0         
7833       GM01021UW162X        62        
7834       GM01021UW163X        12        
7835       GM01018UW010S        381       
7836       GM01018UW010M        114       
7837       GM01018UW010L        85        
7838       GM01018UW01XL        100       
7839       GM01018UW012X        47        
7840       GM01018UW013X        64        
7841       GM01023UW010S        45        
7842       GM01023UW010M        61        
7843       GM01023UW010L        61        
7844       GM01023UW01XL        46        
7845       GM01023UW012X        44        
7846       GM01023UW013X        59        
7847       GM01111UWW10F        128       
7848       GM01122UW182X        60        
7849       GM01122UW180L        62        
7850       GM01111UWP10F        29        
7851       GM01111UWP20F        183       
7852       GM01122UW18XL        472       
7853       GM01037BP9901        108       
7854       GM01010WL9925        0         
7855       GM18001PS0001        36        
7856       GM01085BP0001        1         
7861       GM01006OW010S        0         
7862       GM01006OW010M        19        
7863       GM01006OW01XL        29        
7864       GM01068UW180M        0         
7865       GM01068UW180L        0         
7866       GM01068UW182X        0         
7867       GM01086UW010M        7         
7868       GM01086UW010L        0         
7869       GM01086UW01XL        201       
7870       GM01090UW130S        0         
7871       GM01090UW130L        0         
7872       GM01090UW132X        66        
7873       GM01107UW010M        111       
7874       GM01107UW010L        514       
7875       GM01107UW01XL        351       
7876       GM01107UW012X        13        
7877       GM01109UW012X        5         
7878       GM01110UW180M        0         
7879       GM01110UW18XL        1         
7880       GM01110UW182X        0         
7881       GM01068UW18XL        0         
7883       GM01141UW03XS        0         
7885       GM01141UW030S        0         
7887       GM01141UW030M        0         
7889       GM01141UW030L        0         
7891       GM01142UW01XS        0         
7893       GM01142UW010S        0         
7895       GM01142UW010M        0         
7897       GM01142UW010L        0         
7899       GM01143UW02XS        0         
7901       GM01143UW020S        0         
7903       GM01143UW020M        0         
7905       GM01143UW020L        0         
7907       GM04001WL0050        4         
7908       GM03010CU05CL        0         
7913       GM01053BP0103        0         
7914       GM01089UW012X        114       
7915       GM01109UW010M        90        
7916       GM01109UW010L        136       
7917       GM01109UW01XL        133       
7918       GM01089UW01XL        0         
7919       GM01010WL9910        0         
7920       GM01020UW013X        10        
7921       GM01022UW022X        473       
7922       GM01086UW012X        235       
7923       GM01090UW130M        0         
7924       GM01090UW13XL        202       
7925       GM01110UW180L        0         
7926       GM01054UW010L        0         
7927       GM01054UW01XL        0         
7928       GM01055UW120L        0         
7929       GM01055UW12XL        0         
7930       GM01058UW17XL        0         
7931       GM01106UW050L        0         
7932       GM01106UW05XL        0         
7937       GM01091OW010M        12        
7938       GM01091OW010L        47        
7939       GM01091OW01XL        17        
7940       GM01092OW01XL        14        
7946       GM01006OW010L        7         
7947       GM01016OW170S        0         
7948       GM01016OW170M        18        
7949       GM01016OW170L        4         
7950       GM01016OW17XL        15        
7951       GM01007OW010S        0         
7952       GM01007OW010M        0         
7953       GM01007OW010L        0         
7954       GM01007OW01XL        0         
7980       GM01122UW180M        473       
7981       GM01024UW130S        0         
7982       GM01024UW130M        0         
7983       GM01024UW130L        0         
7984       GM01024UW13XL        0         
7985       GM01024UW132X        79        
7986       GM01024UW133X        244       
7987       GM01072CS0119        25        
7988       GM01072CS0123        25        
7989       GM01072CS0128        12        
7990       GM01102CS0323        0         
7991       GM01102CS0328        0         
7992       GM01104CS1223        0         
7993       GM01104CS1228        0         
7994       GM01080CS0519        0         
7995       GM01080CS0523        0         
7996       GM01080CS0528        0         
7997       GM01081CS0119        0         
7998       GM01081CS0123        0         
7999       GM01081CS0128        0         
8000       GM01079CS1119        0         
8001       GM01076CS1219        0         
8002       GM01076CS1228        0         
8003       GM01103CS2223        0         
8004       GM01103CS2228        0         
8005       GM01029CS0123        18        
8006       GM01030CS0128        14        
8007       GM01029CS1123        15        
8008       GM01030CS1128        21        
8009       GM01030CS1028        16        
8010       GM01029CS1723        14        
8011       GM01030CS1728        11        
8012       GM01029CS0323        11        
8013       GM01030CS0328        7         
8014       GM01029CS1023        12        
8024       GM01056UW05XL        0         
8025       GM01058UW170L        0         
8026       GM01059UW010L        0         
8027       GM01059UW01XL        0         
8028       GM01075UW11XL        0         
8029       GM01105UW11XL        0         
8030       GM01077CS1119        0         
8031       GM03005CSRD28        0         
8032       GM03006CSRD36        0         
8033       GM03003CU11CL        0         
8034       GM11112UW0103        4         
8035       GM11113UW0204        6         
8037       GM11113UW0203        5         
8038       GM11112UW0104        6         
8039       GM01092OW010M        13        
8040       GM01123UW080M        168       
8041       GM01123UW080L        219       
8042       GM01123UW08XL        135       
8043       GM01123UW082X        14        
8044       GM01125UW180M        422       
8045       GM01125UW180L        191       
8046       GM01125UW18XL        52        
8047       GM01125UW182X        50        
8048       GM01124UW130M        303       
8049       GM01124UW130L        382       
8050       GM01124UW13XL        218       
8051       GM01124UW132X        16        
8052       GM01129UW170M        133       
8053       GM01129UW170L        63        
8054       GM01129UW17XL        54        
8055       GM01129UW172X        16        
8056       GM01128UW130M        0         
8057       GM01128UW130L        0         
8058       GM01128UW13XL        0         
8059       GM01128UW132X        0         
8060       GM01126UW010M        472       
8061       GM01126UW010L        482       
8062       GM01126UW01XL        163       
8063       GM01126UW012X        48        
8064       GM01127UW170M        270       
8065       GM01127UW170L        214       
8066       GM01127UW17XL        86        
8067       GM01127UW172X        87        
8068       GM01032UW020M        0         
8069       GM01132UW010M        158       
8070       GM01131UW130M        0         
8071       GM01131UW130L        0         
8072       GM01131UW13XL        0         
8073       GM01131UW132X        2         
8074       GM01132UW010L        278       
8075       GM01132UW01XL        163       
8076       GM01133UW190M        78        
8077       GM01133UW190L        246       
8078       GM01133UW19XL        103       
8079       GM01133UW192X        134       
8080       GM01134UW170M        135       
8081       GM01136UW170L        1         
8082       GM01136UW17XL        65        
8083       GM01136UW172X        3         
8084       GM01134UW170L        99        
8085       GM01134UW17XL        193       
8086       GM01134UW172X        23        
8087       GM01135UW190M        23        
8088       GM01136UW170M        14        
8089       GM01138UW010S        148       
8090       GM01138UW010M        57        
8091       GM01138UW010L        0         
8092       GM01138UW01XL        53        
8093       GM01138UW012X        33        
8094       GM01138UW013X        175       
8095       GM01089UW010S        0         
8096       GM01089UW010M        0         
8097       GM01089UW010L        0         
8098       GM03008SS0900        0         
8099       GM01055UW120M        0         
8100       GM01054UW010S        0         
8101       GM01084UWRD0F        0         
8116       GM01032UW023X        15        
8117       GM01002UW010M        0         
8118       GM01130UW19XL        91        
8119       GM01130UW190L        321       
8120       GM01130UW190M        69        
8121       GM01130UW190S        0         
8134       GM01053BP0102        0         
8136       GM01144UW110S        37        
8138       GM01144UW110M        160       
8140       GM01144UW110L        94        
8142       GM01144UW11XL        21        
8144       GM01145UW040S        72        
8146       GM01145UW040M        147       
8148       GM01145UW040L        88        
8150       GM01145UW04XL        30        
8152       GM01146UWW104        69        
8154       GM01146UWP204        40        
8155       GM01132UW012X        147       
8156       GM01135UW190L        57        
8157       GM01135UW19XL        13        
8158       GM01137UW130M        0         
8159       GM01137UW130L        0         
8160       GM01137UW13XL        5         
8161       GM01137UW132X        14        
8162       GM01135UW192X        25        
8166       GM01140UW080M        20        
8169       GM01140UW080L        36        
8170       GM01140UW08XL        21        
8171       GM01140UW082X        13        
8172       GM01025UW093X        0         
8173       GM01073BP1201        0         
8174       GM01010WL0025        12        
8175       GM01122UWRD0F        165       
8176       GM01026UW153X        0         
8177       GM01058UW170S        0         
8192       GM01092OW010L        0         
8196       GM01147BP1901        34        
8197       GM01130UW192X        16        
8198       GM01130UW193X        28        
8247       GM01031UW013X        16        
8405       GM01069BP0001        0         
8407       GM01149BP1400        0         
8426       GM01139UW230M        44        
8427       GM01139UW230L        1         
8428       GM01139UW23XL        32        
8429       GM01139UW232X        61        
8442       GM01150UW010F        110       
8444       GM01150UW190F        81        
8446       GM20010UW010S        372       
8448       GM20010UW010M        594       
8450       GM20010UW010L        468       
8452       GM20010UW01XL        121       
8454       GM20009UW010M        0         
8456       GM20009UW010L        0         
8458       GM20009UW01XL        0         
8460       GM20008UW01XL        151       
8462       GM20008UW012X        172       
8464       GM20009UW012X        0         
8466       GM20008UW010L        168       
8468       GM20008UW010M        198       
8479       GM01105UW110S        0         
8492       GM01031UW010S        18        
8493       GM01093BP0001        0         
8494       GM01093BP0002        0         
8495       GM01095BP0023        9         
8500       GM01010WL0010        398       
8507       GM01138UW01XS        49        
8537       GM01132UW010S        230       
8539       GM01132UW013X        50        
8541       GM01134UW170S        155       
8542       GM01134UW173X        21        
8544       GM01087UW01XS        147       
8547       GM01087UW010S        278       
8549       GM01087UW013X        19        
8551       GM01129UW170S        119       
8553       GM01129UW173X        21        
8555       GM01126UW010S        115       
8557       GM01126UW013X        152       
8707       GM01067UW102X        0         
8708       GM01067UW10XL        0         
8733       GM01120PS1408        0         
8764       GM01025UW092X        0         
8765       GM01067UW100L        0         
8767       GM20012WU090L        122       
8782       GM20011WU13XL        121       
8784       GM20011WU130L        125       
8786       GM20011WU130M        140       
8788       GM20012WU09XL        135       
8790       GM20012WU090M        83        
8817       GM20015BW0015        62        
8819       GMCO121UW020M        0         
8821       GMCO121UW020L        0         
8823       GMCO121UW02XL        0         
8825       GMCO121UW022X        165       
8842       GM20016BW0008        471       
8844       GM01012PS00          458       
8856       GM11114FTP2XS        1         
8858       GM11114FTP20S        0         
8859       GM11114FTP20M        2         
8862       GM11114FTP20L        2         
8864       GM11114FTP2XL        1         
8866       GM11115FT99XS        1         
8868       GM11115FT990S        1         
8870       GM11115FT990M        2         
8872       GM11115FT990L        2         
8874       GM11115FT99XL        1         
8876       GM11116FT01XS        1         
8878       GM11116FT010S        1         
8880       GM11116FT010M        2         
8882       GM11116FT010L        1         
8884       GM11116FT01XL        1         
8968       GM20017UW0104        0         
8997       GM20018UW010M        0         
8999       GM20018UW01XL        0         
9001       GM20019UW100M        0         
9003       GM20019UW100L        0         
9005       GM20019UW10XL        0         
9021       GM20020FC0030B       0         
9023       GM20020FC0010B       0         
9095       GM12001FC2010        30        
9097       GM12002FC0030        67        
✅ 更新通知email已成功發送

✅ 已成功更新 348 筆商品並發送通知郵件

商品UID      SKU                  更新庫存      
----------------------------------------
7809       GM01087UW010M        398       
7810       GM01088UW190M        289       
7811       GM01088UW190L        275       
7812       GM01087UW010L        439       
7813       GM01087UW01XL        240       
7814       GM01088UW19XL        170       
7815       GM01088UW192X        197       
7816       GM01087UW012X        63        
7818       GM01022UW020M        192       
7819       GM01032UW020S        0         
7820       GM01022UW020L        178       
7821       GM01022UW020S        66        
7822       GM01022UW023X        21        
7823       GM01022UW02XL        36        
7824       GM01020UW010S        46        
7825       GM01020UW010M        164       
7826       GM01020UW010L        130       
7827       GM01020UW01XL        64        
7828       GM01020UW012X        37        
7829       GM01021UW160S        19        
7830       GM01021UW160M        8         
7831       GM01021UW160L        35        
7832       GM01021UW16XL        12        
7833       GM01021UW162X        77        
7834       GM01021UW163X        29        
7835       GM01018UW010S        379       
7836       GM01018UW010M        112       
7837       GM01018UW010L        78        
7838       GM01018UW01XL        98        
7839       GM01018UW012X        47        
7840       GM01018UW013X        64        
7841       GM01023UW010S        40        
7842       GM01023UW010M        55        
7843       GM01023UW010L        59        
7844       GM01023UW01XL        46        
7845       GM01023UW012X        44        
7846       GM01023UW013X        59        
7847       GM01111UWW10F        95        
7848       GM01122UW182X        56        
7849       GM01122UW180L        52        
7850       GM01111UWP10F        300       
7851       GM01111UWP20F        157       
7852       GM01122UW18XL        468       
7853       GM01037BP9901        103       
7854       GM01010WL9925        0         
7855       GM18001PS0001        35        
7856       GM01085BP0001        6         
7861       GM01006OW010S        0         
7862       GM01006OW010M        19        
7863       GM01006OW01XL        29        
7864       GM01068UW180M        0         
7865       GM01068UW180L        0         
7866       GM01068UW182X        0         
7867       GM01086UW010M        5         
7868       GM01086UW010L        0         
7869       GM01086UW01XL        200       
7870       GM01090UW130S        0         
7871       GM01090UW130L        0         
7872       GM01090UW132X        66        
7873       GM01107UW010M        100       
7874       GM01107UW010L        508       
7875       GM01107UW01XL        350       
7876       GM01107UW012X        13        
7877       GM01109UW012X        5         
7878       GM01110UW180M        0         
7879       GM01110UW18XL        1         
7880       GM01110UW182X        0         
7881       GM01068UW18XL        0         
7883       GM01141UW03XS        0         
7885       GM01141UW030S        0         
7887       GM01141UW030M        0         
7889       GM01141UW030L        0         
7891       GM01142UW01XS        0         
7893       GM01142UW010S        0         
7895       GM01142UW010M        0         
7897       GM01142UW010L        0         
7899       GM01143UW02XS        0         
7901       GM01143UW020S        0         
7903       GM01143UW020M        0         
7905       GM01143UW020L        0         
7907       GM04001WL0050        4         
7908       GM03010CU05CL        0         
7913       GM01053BP0103        0         
7914       GM01089UW012X        114       
7915       GM01109UW010M        77        
7916       GM01109UW010L        131       
7917       GM01109UW01XL        130       
7918       GM01089UW01XL        0         
7919       GM01010WL9910        0         
7920       GM01020UW013X        10        
7921       GM01022UW022X        473       
7922       GM01086UW012X        235       
7923       GM01090UW130M        0         
7924       GM01090UW13XL        202       
7925       GM01110UW180L        0         
7926       GM01054UW010L        0         
7927       GM01054UW01XL        0         
7928       GM01055UW120L        0         
7929       GM01055UW12XL        0         
7930       GM01058UW17XL        0         
7931       GM01106UW050L        0         
7932       GM01106UW05XL        0         
7937       GM01091OW010M        12        
7938       GM01091OW010L        47        
7939       GM01091OW01XL        17        
7940       GM01092OW01XL        13        
7946       GM01006OW010L        6         
7947       GM01016OW170S        0         
7948       GM01016OW170M        18        
7949       GM01016OW170L        4         
7950       GM01016OW17XL        15        
7951       GM01007OW010S        0         
7952       GM01007OW010M        0         
7953       GM01007OW010L        0         
7954       GM01007OW01XL        0         
7980       GM01122UW180M        470       
7981       GM01024UW130S        0         
7982       GM01024UW130M        0         
7983       GM01024UW130L        0         
7984       GM01024UW13XL        0         
7985       GM01024UW132X        78        
7986       GM01024UW133X        244       
7987       GM01072CS0119        23        
7988       GM01072CS0123        25        
7989       GM01072CS0128        12        
7990       GM01102CS0323        0         
7991       GM01102CS0328        0         
7992       GM01104CS1223        0         
7993       GM01104CS1228        0         
7994       GM01080CS0519        0         
7995       GM01080CS0523        0         
7996       GM01080CS0528        0         
7997       GM01081CS0119        0         
7998       GM01081CS0123        0         
7999       GM01081CS0128        0         
8000       GM01079CS1119        0         
8001       GM01076CS1219        0         
8002       GM01076CS1228        0         
8003       GM01103CS2223        0         
8004       GM01103CS2228        0         
8005       GM01029CS0123        12        
8006       GM01030CS0128        13        
8007       GM01029CS1123        13        
8008       GM01030CS1128        21        
8009       GM01030CS1028        14        
8010       GM01029CS1723        14        
8011       GM01030CS1728        8         
8012       GM01029CS0323        10        
8013       GM01030CS0328        7         
8014       GM01029CS1023        11        
8024       GM01056UW05XL        0         
8025       GM01058UW170L        0         
8026       GM01059UW010L        0         
8027       GM01059UW01XL        0         
8028       GM01075UW11XL        0         
8029       GM01105UW11XL        0         
8030       GM01077CS1119        0         
8031       GM03005CSRD28        0         
8032       GM03006CSRD36        0         
8033       GM03003CU11CL        0         
8034       GM11112UW0103        4         
8035       GM11113UW0204        6         
8037       GM11113UW0203        5         
8038       GM11112UW0104        6         
8039       GM01092OW010M        13        
8040       GM01123UW080M        167       
8041       GM01123UW080L        215       
8042       GM01123UW08XL        135       
8043       GM01123UW082X        14        
8044       GM01125UW180M        421       
8045       GM01125UW180L        188       
8046       GM01125UW18XL        51        
8047       GM01125UW182X        50        
8048       GM01124UW130M        302       
8049       GM01124UW130L        377       
8050       GM01124UW13XL        218       
8051       GM01124UW132X        16        
8052       GM01129UW170M        126       
8053       GM01129UW170L        60        
8054       GM01129UW17XL        54        
8055       GM01129UW172X        16        
8056       GM01128UW130M        0         
8057       GM01128UW130L        0         
8058       GM01128UW13XL        0         
8059       GM01128UW132X        0         
8060       GM01126UW010M        465       
8061       GM01126UW010L        492       
8062       GM01126UW01XL        191       
8063       GM01126UW012X        48        
8064       GM01127UW170M        264       
8065       GM01127UW170L        208       
8066       GM01127UW17XL        84        
8067       GM01127UW172X        86        
8068       GM01032UW020M        0         
8069       GM01132UW010M        158       
8070       GM01131UW130M        0         
8071       GM01131UW130L        0         
8072       GM01131UW13XL        0         
8073       GM01131UW132X        0         
8074       GM01132UW010L        273       
8075       GM01132UW01XL        162       
8076       GM01133UW190M        77        
8077       GM01133UW190L        242       
8078       GM01133UW19XL        102       
8079       GM01133UW192X        129       
8080       GM01134UW170M        135       
8081       GM01136UW170L        0         
8082       GM01136UW17XL        62        
8083       GM01136UW172X        3         
8084       GM01134UW170L        96        
